name,type,resolver,ttl,status,answers,error
compasiq.com,A,1.1.1.1,3600.0,OK,160.153.0.46,
compasiq.com,AAAA,1.1.1.1,,NODATA,,
compasiq.com,CNAME,1.1.1.1,,NODATA,,
compasiq.com,MX,1.1.1.1,3600.0,OK,0 compasiq-com.mail.protection.outlook.com.,
compasiq.com,TXT,1.1.1.1,3600.0,OK,"""NETORGFT18887650.onmicrosoft.com""; ""v=DMARC1; p=none; pct=100; rua=mailto:vs@compasiq.com; sp=none""; ""v=spf1 include:secureserver.net -all""",
compasiq.com,NS,1.1.1.1,3600.0,OK,ns51.domaincontrol.com.; ns52.domaincontrol.com.,
compasiq.com,SOA,1.1.1.1,3600.0,OK,ns51.domaincontrol.com. dns.jomax.net. 2025091206 28800 7200 604800 600,
compasiq.com,A,8.8.8.8,3600.0,OK,160.153.0.46,
compasiq.com,AAAA,8.8.8.8,,NODATA,,
compasiq.com,CNAME,8.8.8.8,,NODATA,,
compasiq.com,MX,8.8.8.8,3600.0,OK,0 compasiq-com.mail.protection.outlook.com.,
compasiq.com,TXT,8.8.8.8,3600.0,OK,"""NETORGFT18887650.onmicrosoft.com""; ""v=DMARC1; p=none; pct=100; rua=mailto:vs@compasiq.com; sp=none""; ""v=spf1 include:secureserver.net -all""",
compasiq.com,NS,8.8.8.8,3600.0,OK,ns51.domaincontrol.com.; ns52.domaincontrol.com.,
compasiq.com,SOA,8.8.8.8,3600.0,OK,ns51.domaincontrol.com. dns.jomax.net. 2025091206 28800 7200 604800 600,
compasiq.com,A,9.9.9.9,3600.0,OK,160.153.0.46,
compasiq.com,AAAA,9.9.9.9,,NODATA,,
compasiq.com,CNAME,9.9.9.9,,NODATA,,
compasiq.com,MX,9.9.9.9,3361.0,OK,0 compasiq-com.mail.protection.outlook.com.,
compasiq.com,TXT,9.9.9.9,3361.0,OK,"""NETORGFT18887650.onmicrosoft.com""; ""v=DMARC1; p=none; pct=100; rua=mailto:vs@compasiq.com; sp=none""; ""v=spf1 include:secureserver.net -all""",
compasiq.com,NS,9.9.9.9,3600.0,OK,ns51.domaincontrol.com.; ns52.domaincontrol.com.,
compasiq.com,SOA,9.9.9.9,3361.0,OK,ns51.domaincontrol.com. dns.jomax.net. 2025091206 28800 7200 604800 600,
compasiq.com,A,auth:ns51.domaincontrol.com@97.74.105.26,3600.0,OK,160.153.0.46,
compasiq.com,AAAA,auth:ns51.domaincontrol.com@97.74.105.26,,NODATA,,
compasiq.com,CNAME,auth:ns51.domaincontrol.com@97.74.105.26,,NODATA,,
compasiq.com,MX,auth:ns51.domaincontrol.com@97.74.105.26,3600.0,OK,0 compasiq-com.mail.protection.outlook.com.,
compasiq.com,TXT,auth:ns51.domaincontrol.com@97.74.105.26,3600.0,OK,"""NETORGFT18887650.onmicrosoft.com""; ""v=DMARC1; p=none; pct=100; rua=mailto:vs@compasiq.com; sp=none""; ""v=spf1 include:secureserver.net -all""",
compasiq.com,NS,auth:ns51.domaincontrol.com@97.74.105.26,3600.0,OK,ns51.domaincontrol.com.; ns52.domaincontrol.com.,
compasiq.com,SOA,auth:ns51.domaincontrol.com@97.74.105.26,3600.0,OK,ns51.domaincontrol.com. dns.jomax.net. 2025091206 28800 7200 604800 600,
compasiq.com,A,auth:ns51.domaincontrol.com@2603:5:2192::1a,3600.0,OK,160.153.0.46,
compasiq.com,AAAA,auth:ns51.domaincontrol.com@2603:5:2192::1a,,NODATA,,
compasiq.com,CNAME,auth:ns51.domaincontrol.com@2603:5:2192::1a,,NODATA,,
compasiq.com,MX,auth:ns51.domaincontrol.com@2603:5:2192::1a,3600.0,OK,0 compasiq-com.mail.protection.outlook.com.,
compasiq.com,TXT,auth:ns51.domaincontrol.com@2603:5:2192::1a,3600.0,OK,"""NETORGFT18887650.onmicrosoft.com""; ""v=DMARC1; p=none; pct=100; rua=mailto:vs@compasiq.com; sp=none""; ""v=spf1 include:secureserver.net -all""",
compasiq.com,NS,auth:ns51.domaincontrol.com@2603:5:2192::1a,3600.0,OK,ns51.domaincontrol.com.; ns52.domaincontrol.com.,
compasiq.com,SOA,auth:ns51.domaincontrol.com@2603:5:2192::1a,3600.0,OK,ns51.domaincontrol.com. dns.jomax.net. 2025091206 28800 7200 604800 600,
compasiq.com,A,auth:ns52.domaincontrol.com@173.201.73.26,3600.0,OK,160.153.0.46,
compasiq.com,AAAA,auth:ns52.domaincontrol.com@173.201.73.26,,NODATA,,
compasiq.com,CNAME,auth:ns52.domaincontrol.com@173.201.73.26,,NODATA,,
compasiq.com,MX,auth:ns52.domaincontrol.com@173.201.73.26,3600.0,OK,0 compasiq-com.mail.protection.outlook.com.,
compasiq.com,TXT,auth:ns52.domaincontrol.com@173.201.73.26,3600.0,OK,"""NETORGFT18887650.onmicrosoft.com""; ""v=DMARC1; p=none; pct=100; rua=mailto:vs@compasiq.com; sp=none""; ""v=spf1 include:secureserver.net -all""",
compasiq.com,NS,auth:ns52.domaincontrol.com@173.201.73.26,3600.0,OK,ns51.domaincontrol.com.; ns52.domaincontrol.com.,
compasiq.com,SOA,auth:ns52.domaincontrol.com@173.201.73.26,3600.0,OK,ns51.domaincontrol.com. dns.jomax.net. 2025091206 28800 7200 604800 600,
compasiq.com,A,auth:ns52.domaincontrol.com@2603:5:2292::1a,3600.0,OK,160.153.0.46,
compasiq.com,AAAA,auth:ns52.domaincontrol.com@2603:5:2292::1a,,NODATA,,
compasiq.com,CNAME,auth:ns52.domaincontrol.com@2603:5:2292::1a,,NODATA,,
compasiq.com,MX,auth:ns52.domaincontrol.com@2603:5:2292::1a,3600.0,OK,0 compasiq-com.mail.protection.outlook.com.,
compasiq.com,TXT,auth:ns52.domaincontrol.com@2603:5:2292::1a,3600.0,OK,"""NETORGFT18887650.onmicrosoft.com""; ""v=DMARC1; p=none; pct=100; rua=mailto:vs@compasiq.com; sp=none""; ""v=spf1 include:secureserver.net -all""",
compasiq.com,NS,auth:ns52.domaincontrol.com@2603:5:2292::1a,3600.0,OK,ns51.domaincontrol.com.; ns52.domaincontrol.com.,
compasiq.com,SOA,auth:ns52.domaincontrol.com@2603:5:2292::1a,3600.0,OK,ns51.domaincontrol.com. dns.jomax.net. 2025091206 28800 7200 604800 600,
